# bin_left_ns bin_right_ns counts
625.3105 625.9675 0
625.9675 626.6245 0
626.6245 627.2814 1
627.2814 627.9384 0
627.9384 628.5954 0
628.5954 629.2524 0
629.2524 629.9094 0
629.9094 630.5664 0
630.5664 631.2234 0
631.2234 631.8803 1
631.8803 632.5373 0
632.5373 633.1943 0
633.1943 633.8513 0
633.8513 634.5083 0
634.5083 635.1653 0
635.1653 635.8222 0
635.8222 636.4792 0
636.4792 637.1362 0
637.1362 637.7932 0
637.7932 638.4502 0
638.4502 639.1072 0
639.1072 639.7641 0
639.7641 640.4211 0
640.4211 641.0781 0
641.0781 641.7351 0
641.7351 642.3921 0
642.3921 643.0491 0
643.0491 643.7060 0
643.7060 644.3630 0
644.3630 645.0200 0
645.0200 645.6770 0
645.6770 646.3340 0
646.3340 646.9910 0
646.9910 647.6479 0
647.6479 648.3049 0
648.3049 648.9619 0
648.9619 649.6189 0
649.6189 650.2759 0
650.2759 650.9329 0
650.9329 651.5898 0
651.5898 652.2468 0
652.2468 652.9038 0
652.9038 653.5608 0
653.5608 654.2178 0
654.2178 654.8748 1
654.8748 655.5318 0
655.5318 656.1887 0
656.1887 656.8457 0
656.8457 657.5027 0
657.5027 658.1597 0
658.1597 658.8167 0
658.8167 659.4737 0
659.4737 660.1306 0
660.1306 660.7876 0
660.7876 661.4446 0
661.4446 662.1016 0
662.1016 662.7586 0
662.7586 663.4156 0
663.4156 664.0725 0
664.0725 664.7295 0
664.7295 665.3865 0
665.3865 666.0435 0
666.0435 666.7005 0
666.7005 667.3575 1
667.3575 668.0144 0
668.0144 668.6714 0
668.6714 669.3284 0
669.3284 669.9854 0
669.9854 670.6424 0
670.6424 671.2994 1
671.2994 671.9563 0
671.9563 672.6133 0
672.6133 673.2703 0
673.2703 673.9273 0
673.9273 674.5843 0
674.5843 675.2413 1
675.2413 675.8982 0
675.8982 676.5552 0
676.5552 677.2122 0
677.2122 677.8692 0
677.8692 678.5262 0
678.5262 679.1832 1
679.1832 679.8402 0
679.8402 680.4971 0
680.4971 681.1541 0
681.1541 681.8111 0
681.8111 682.4681 0
682.4681 683.1251 0
683.1251 683.7821 0
683.7821 684.4390 0
684.4390 685.0960 0
685.0960 685.7530 0
685.7530 686.4100 0
686.4100 687.0670 0
687.0670 687.7240 0
687.7240 688.3809 0
688.3809 689.0379 0
689.0379 689.6949 0
689.6949 690.3519 0
690.3519 691.0089 1
691.0089 691.6659 1
691.6659 692.3228 0
692.3228 692.9798 0
692.9798 693.6368 0
693.6368 694.2938 0
694.2938 694.9508 0
694.9508 695.6078 0
695.6078 696.2647 0
696.2647 696.9217 0
696.9217 697.5787 2
697.5787 698.2357 0
698.2357 698.8927 1
698.8927 699.5497 0
699.5497 700.2066 0
700.2066 700.8636 0
700.8636 701.5206 0
701.5206 702.1776 0
702.1776 702.8346 0
702.8346 703.4916 0
703.4916 704.1486 0
704.1486 704.8055 0
704.8055 705.4625 0
705.4625 706.1195 1
706.1195 706.7765 1
706.7765 707.4335 0
707.4335 708.0905 0
708.0905 708.7474 0
708.7474 709.4044 1
709.4044 710.0614 0
710.0614 710.7184 0
710.7184 711.3754 1
711.3754 712.0324 0
712.0324 712.6893 0
712.6893 713.3463 0
713.3463 714.0033 0
714.0033 714.6603 1
714.6603 715.3173 0
715.3173 715.9743 0
715.9743 716.6312 0
716.6312 717.2882 1
717.2882 717.9452 0
717.9452 718.6022 0
718.6022 719.2592 0
719.2592 719.9162 0
719.9162 720.5731 0
720.5731 721.2301 0
721.2301 721.8871 0
721.8871 722.5441 0
722.5441 723.2011 0
723.2011 723.8581 0
723.8581 724.5150 0
724.5150 725.1720 0
725.1720 725.8290 0
725.8290 726.4860 0
726.4860 727.1430 0
727.1430 727.8000 1
727.8000 728.4569 0
728.4569 729.1139 1
729.1139 729.7709 0
729.7709 730.4279 0
730.4279 731.0849 0
731.0849 731.7419 0
731.7419 732.3989 0
732.3989 733.0558 0
733.0558 733.7128 0
733.7128 734.3698 1
734.3698 735.0268 0
735.0268 735.6838 0
735.6838 736.3408 0
736.3408 736.9977 0
736.9977 737.6547 0
737.6547 738.3117 0
738.3117 738.9687 1
738.9687 739.6257 0
739.6257 740.2827 0
740.2827 740.9396 0
740.9396 741.5966 0
741.5966 742.2536 0
742.2536 742.9106 0
742.9106 743.5676 0
743.5676 744.2246 0
744.2246 744.8815 1
744.8815 745.5385 0
745.5385 746.1955 0
746.1955 746.8525 3
746.8525 747.5095 1
747.5095 748.1665 0
748.1665 748.8234 0
748.8234 749.4804 0
749.4804 750.1374 0
750.1374 750.7944 0
750.7944 751.4514 0
751.4514 752.1084 0
752.1084 752.7653 0
752.7653 753.4223 1
753.4223 754.0793 0
754.0793 754.7363 0
754.7363 755.3933 0
755.3933 756.0503 0
756.0503 756.7073 0
756.7073 757.3642 0
757.3642 758.0212 0
758.0212 758.6782 0
758.6782 759.3352 0
759.3352 759.9922 0
759.9922 760.6492 0
760.6492 761.3061 0
761.3061 761.9631 0
761.9631 762.6201 0
762.6201 763.2771 1
763.2771 763.9341 0
763.9341 764.5911 1
764.5911 765.2480 1
765.2480 765.9050 0
765.9050 766.5620 0
766.5620 767.2190 0
767.2190 767.8760 1
767.8760 768.5330 1
768.5330 769.1899 0
769.1899 769.8469 0
769.8469 770.5039 0
770.5039 771.1609 0
771.1609 771.8179 0
771.8179 772.4749 0
772.4749 773.1318 0
773.1318 773.7888 0
773.7888 774.4458 0
774.4458 775.1028 0
775.1028 775.7598 0
775.7598 776.4168 0
776.4168 777.0737 0
777.0737 777.7307 0
777.7307 778.3877 0
778.3877 779.0447 0
779.0447 779.7017 0
779.7017 780.3587 0
780.3587 781.0157 0
781.0157 781.6726 0
781.6726 782.3296 0
782.3296 782.9866 0
782.9866 783.6436 0
783.6436 784.3006 0
784.3006 784.9576 0
784.9576 785.6145 0
785.6145 786.2715 0
786.2715 786.9285 0
786.9285 787.5855 0
787.5855 788.2425 0
788.2425 788.8995 0
788.8995 789.5564 0
789.5564 790.2134 0
790.2134 790.8704 0
790.8704 791.5274 0
791.5274 792.1844 0
792.1844 792.8414 0
792.8414 793.4983 0
793.4983 794.1553 0
794.1553 794.8123 0
794.8123 795.4693 0
795.4693 796.1263 0
796.1263 796.7833 0
796.7833 797.4402 0
797.4402 798.0972 0
798.0972 798.7542 1
798.7542 799.4112 0
799.4112 800.0682 0
800.0682 800.7252 0
800.7252 801.3821 1
801.3821 802.0391 0
802.0391 802.6961 0
802.6961 803.3531 0
803.3531 804.0101 1
804.0101 804.6671 0
804.6671 805.3241 0
805.3241 805.9810 0
805.9810 806.6380 0
806.6380 807.2950 0
807.2950 807.9520 0
807.9520 808.6090 0
808.6090 809.2660 0
809.2660 809.9229 0
809.9229 810.5799 0
810.5799 811.2369 0
811.2369 811.8939 0
811.8939 812.5509 0
812.5509 813.2079 0
813.2079 813.8648 0
813.8648 814.5218 0
814.5218 815.1788 0
815.1788 815.8358 0
815.8358 816.4928 0
816.4928 817.1498 1
817.1498 817.8067 0
817.8067 818.4637 0
818.4637 819.1207 0
819.1207 819.7777 0
819.7777 820.4347 0
820.4347 821.0917 0
821.0917 821.7486 0
821.7486 822.4056 0
822.4056 823.0626 0
823.0626 823.7196 0
823.7196 824.3766 0
824.3766 825.0336 0
825.0336 825.6905 0
825.6905 826.3475 0
826.3475 827.0045 0
827.0045 827.6615 0
827.6615 828.3185 0
828.3185 828.9755 0
828.9755 829.6325 0
829.6325 830.2894 0
830.2894 830.9464 0
830.9464 831.6034 0
831.6034 832.2604 0
832.2604 832.9174 0
832.9174 833.5744 0
833.5744 834.2313 0
834.2313 834.8883 0
834.8883 835.5453 0
835.5453 836.2023 0
836.2023 836.8593 0
836.8593 837.5163 0
837.5163 838.1732 1
838.1732 838.8302 0
838.8302 839.4872 0
839.4872 840.1442 0
840.1442 840.8012 0
840.8012 841.4582 0
841.4582 842.1151 1
842.1151 842.7721 0
842.7721 843.4291 0
843.4291 844.0861 0
844.0861 844.7431 0
844.7431 845.4001 0
845.4001 846.0570 0
846.0570 846.7140 0
846.7140 847.3710 1
847.3710 848.0280 0
848.0280 848.6850 0
848.6850 849.3420 0
849.3420 849.9989 0
849.9989 850.6559 0
850.6559 851.3129 0
851.3129 851.9699 0
851.9699 852.6269 1
852.6269 853.2839 0
853.2839 853.9408 0
853.9408 854.5978 0
854.5978 855.2548 0
855.2548 855.9118 1
855.9118 856.5688 0
856.5688 857.2258 0
857.2258 857.8828 1
857.8828 858.5397 0
858.5397 859.1967 0
859.1967 859.8537 0
859.8537 860.5107 0
860.5107 861.1677 0
861.1677 861.8247 0
861.8247 862.4816 1
862.4816 863.1386 0
863.1386 863.7956 0
863.7956 864.4526 0
